FD  Type Size      OpenPerm FilePerm            Name                                                                                                                                                                  
0   REG  0         rw       -rw-rw-rw-          /dev/null                                                                                                                                                             
1   PIPE 0         -w       -rw-------          pipe:[755342]                                                                                                                                                         
2   PIPE 0         -w       -rw-------          pipe:[755343]                                                                                                                                                         
3   REG  0         rw       -rwx------          anon_inode:[pidfd]                                                                                                                                                    
4   REG  0         r-       -rw-r--r--          /host/sys/fs/cgroup/cpu.max                                                                                                                                           
5   REG  116000    -w       -rw-r--r--          /var/log/datadog/agent.log                                                                                                                                            
6   REG  0         rw       -rw-------          anon_inode:[eventpoll]                                                                                                                                                
7   REG  0         rw       -rw-------          anon_inode:[eventfd]                                                                                                                                                  
8   tcp  0         rw       ESTABLISHED         10.244.0.67:57162->172.17.0.2:8443                                                                                                                                    
9   unix 0         rw       connected:default   stream:                                                                                                                                                               
10  tcp  0         rw       ESTABLISHED         10.244.0.67:57176->172.17.0.2:8443                                                                                                                                    
11  tcp  0         rw       ESTABLISHED         10.244.0.67:57390->172.17.0.2:10250                                                                                                                                   
12  tcp  0         rw       ESTABLISHED         10.244.0.67:55886->3.233.158.244:443                                                                                                                                  
13  REG  132       -w       -rw-r--r--          /var/log/datadog/dogstatsd_info/dogstatsd-stats.log                                                                                                                   
14  REG  262144    rw       -rw-------          /opt/datadog-agent/run/remote-config.db                                                                                                                               
15  tcp6 0         rw       LISTEN              :::5555->:::0                                                                                                                                                         
16  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:58066                                                                                                                                       
17  unix 0         rw       connected:default   stream:                                                                                                                                                               
18  DIR  0         r-       -r-xr-xr-x          /host/proc                                                                                                                                                            
19  REG  832       -w       -rw-r--r--          /tmp/857458310/pattykube/flare_creation.log                                                                                                                           
20  unix 0         rw       unconnected:default dgram:/var/run/datadog/dsd.socket                                                                                                                                     
21  udp6 0         rw       CLOSE               :::8125->:::0                                                                                                                                                         
22  tcp  0         rw       ESTABLISHED         10.244.0.67:39276->3.233.158.71:443                                                                                                                                   
23  tcp  0         rw       LISTEN              127.0.0.1:5001->0.0.0.0:0                                                                                                                                             
25  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:46396                                                                                                                                       
26  tcp  0         rw       SYN_SENT            10.244.0.67:35512->100.100.100.200:80                                                                                                                                 
27  tcp  0         rw       LISTEN              127.0.0.1:6000->0.0.0.0:0                                                                                                                                             
28  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:46394                                                                                                                                       
29  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:46398                                                                                                                                       
30  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:46402                                                                                                                                       
31  tcp  0         rw       ESTABLISHED         127.0.0.1:60570->127.0.0.1:5001                                                                                                                                       
32  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60570                                                                                                                                       
33  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60572                                                                                                                                       
34  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60580                                                                                                                                       
35  tcp  0         rw       ESTABLISHED         10.244.0.67:60660->3.233.158.86:443                                                                                                                                   
36  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60592                                                                                                                                       
37  tcp  0         rw       ESTABLISHED         127.0.0.1:49440->127.0.0.1:46875                                                                                                                                      
38  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60594                                                                                                                                       
39  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60610                                                                                                                                       
40  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60630                                                                                                                                       
41  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60626                                                                                                                                       
43  REG  3295      r-       -rw-r-----          /var/lib/docker/containers/76d2e35e241b39b3e519cdf449bfef9c32859e6efbb627ad4425ab1ad89fbf9b/76d2e35e241b39b3e519cdf449bfef9c32859e6efbb627ad4425ab1ad89fbf9b-json.log 
44  REG  9750      r-       -rw-r-----          /var/lib/docker/containers/e742cbc43cf9a75ada6bf121167886e06c01ac0c8dfa1b654d44cdb5265eca9a/e742cbc43cf9a75ada6bf121167886e06c01ac0c8dfa1b654d44cdb5265eca9a-json.log 
45  REG  445332    r-       -rw-r-----          /var/lib/docker/containers/a5174fe929ef3485b415c04fefdda3b4aa5a83ba03fc780f7bdc87e4ed854a4e/a5174fe929ef3485b415c04fefdda3b4aa5a83ba03fc780f7bdc87e4ed854a4e-json.log 
46  REG  965       r-       -rw-r-----          /var/lib/docker/containers/92b3356af012922cb509ef6e397f6ccee6550dea16b3c0867a11ea31316b1530/92b3356af012922cb509ef6e397f6ccee6550dea16b3c0867a11ea31316b1530-json.log 
47  REG  0         r-       -rw-r-----          /var/lib/docker/containers/167074306ee212e32d29c4f3bbeaa08daeaa05a3c446f0879244ba8a0e4a8412/167074306ee212e32d29c4f3bbeaa08daeaa05a3c446f0879244ba8a0e4a8412-json.log 
48  REG  0         r-       -rw-r-----          /var/lib/docker/containers/6bd4a07cd10ab204a17f1ba6f804cc152e71be0aaa15c4c95ee1de110f37cf49/6bd4a07cd10ab204a17f1ba6f804cc152e71be0aaa15c4c95ee1de110f37cf49-json.log 
49  REG  166402    r-       -rw-r-----          /var/lib/docker/containers/0be18888ad8e491cd0b2e9ca9aed8c80d39ca82fb115e8b334a95299a037bbd7/0be18888ad8e491cd0b2e9ca9aed8c80d39ca82fb115e8b334a95299a037bbd7-json.log 
50  REG  15164     r-       -rw-r-----          /var/lib/docker/containers/ce8933cc7cbf0353f4c90881114da5bfed41620dd4f508f10727e6ed24b0088b/ce8933cc7cbf0353f4c90881114da5bfed41620dd4f508f10727e6ed24b0088b-json.log 
51  REG  22795     r-       -rw-r-----          /var/lib/docker/containers/06bff94baba197cfb5095fdc57882a08921516ea1ff00f83739f30242c5089df/06bff94baba197cfb5095fdc57882a08921516ea1ff00f83739f30242c5089df-json.log 
52  REG  17786     r-       -rw-r-----          /var/lib/docker/containers/cba24559722b7c7c7e19a2eedf3d42984c99964bae5019468a51ac791c873cea/cba24559722b7c7c7e19a2eedf3d42984c99964bae5019468a51ac791c873cea-json.log 
53  REG  4391418   r-       -rw-r-----          /var/lib/docker/containers/0bd7e1a6afb1f5bd193ee56f9762cc8d237d55a595392f3f439025a673ff237b/0bd7e1a6afb1f5bd193ee56f9762cc8d237d55a595392f3f439025a673ff237b-json.log 
54  REG  4041      r-       -rw-r-----          /var/lib/docker/containers/38c6f8ace85e9f4ac5eb7aeda57a927214daf0032ee005c12f8b7bddca16aaf3/38c6f8ace85e9f4ac5eb7aeda57a927214daf0032ee005c12f8b7bddca16aaf3-json.log 
55  REG  4942      r-       -rw-r-----          /var/lib/docker/containers/bfe490a19a9899c258ead6d159808472b2cd6e31ccfda6171e1f8a0fc61f0be3/bfe490a19a9899c258ead6d159808472b2cd6e31ccfda6171e1f8a0fc61f0be3-json.log 
56  REG  102739    r-       -rw-r-----          /var/lib/docker/containers/3ad202e411ec8c9a6bc9719a791f74de8a7ccee4b7a98e0fd4edf277ef8054b2/3ad202e411ec8c9a6bc9719a791f74de8a7ccee4b7a98e0fd4edf277ef8054b2-json.log 
57  REG  324204    r-       -rw-r-----          /var/lib/docker/containers/8e67107272384206fe3b447b3e87f74136ed39d71c93d7ab6d4afecef0fe6610/8e67107272384206fe3b447b3e87f74136ed39d71c93d7ab6d4afecef0fe6610-json.log 
59  REG  545128    r-       -rw-r-----          /var/lib/docker/containers/090527ec762d391fe1fe3c6bfd6cb8063f641ce8abd74a34ad1f12bb6405b49e/090527ec762d391fe1fe3c6bfd6cb8063f641ce8abd74a34ad1f12bb6405b49e-json.log 
60  tcp  0         rw       ESTABLISHED         127.0.0.1:44664->127.0.0.1:36811                                                                                                                                      
61  REG  0         r-       -rw-r-----          /var/lib/docker/containers/5684eab595ecf8c3e9f1baedbba4b4f17adaf7fff7e5582e1aa44ae413ffc211/5684eab595ecf8c3e9f1baedbba4b4f17adaf7fff7e5582e1aa44ae413ffc211-json.log 
