        CONTAINER ID                                                                                     IMAGE                         COMMAND                        STATUS               PORTS                                                                                                             NAMES
        06bff94baba1                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                "system-probe …"                  Up 2 minutes                  []                                  [/k8s_system-probe_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        ce8933cc7cbf                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a               "process-agent …"                  Up 2 minutes                  []                                 [/k8s_process-agent_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        cba24559722b                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                "trace-loader …"                  Up 2 minutes                  []                                   [/k8s_trace-agent_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        0be18888ad8e                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                       "agent …"                  Up 2 minutes                  []                                         [/k8s_agent_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        6bd4a07cd10a                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                          "cp …"      Exited (0) 2 minutes ago                  []                                 [/k8s_seccomp-setup_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        92b3356af012                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                        "bash …"      Exited (0) 2 minutes ago                  []                                   [/k8s_init-config_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        167074306ee2                   sha256:7d0e72194d741b7bdc30b4fefc64a389a4240aff606630d6c52af2eabff02b4a                        "bash …"      Exited (0) 2 minutes ago                  []                                   [/k8s_init-volume_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        c48b1a8eea26                                                              registry.k8s.io/pause:3.10.1                        "/pause"                  Up 2 minutes                  []                                           [/k8s_POD_datadog-gkwbc_default_3611c5d8-6624-4102-88df-04a77237846b_0]
        4840c015c792                   sha256:cbca6d4e92d30b5c6f04e2a6c95aa148cf4d9768d2b328f2d6487344b1d119fb              "/entrypoint.sh …"                  Up 2 minutes                  []        [/k8s_cluster-agent_datadog-cluster-agent-6445697f5b-287lr_default_ef4cb795-56e7-45c1-a8cd-a98809edd5d9_0]
        5684eab595ec                   sha256:cbca6d4e92d30b5c6f04e2a6c95aa148cf4d9768d2b328f2d6487344b1d119fb                          "cp …"      Exited (0) 2 minutes ago                  []          [/k8s_init-volume_datadog-cluster-agent-6445697f5b-287lr_default_ef4cb795-56e7-45c1-a8cd-a98809edd5d9_0]
