2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | CORE: using slog logger
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:743 in func1) | Using '/opt/datadog-agent/embedded' as Python home
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to load the configuration
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/util/log/log.go:783 in func1) | Unknown environment variable: DD_KUBERNETES_KUBE_SERVICE_IGNORE_READINESS
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:738 in func1) | Loading proxy settings
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to resolve secrets
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:738 in func1) | Finished resolving secrets
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:743 in func1) | Agent did not find PodResources socket at /var/lib/kubelet/pod-resources/kubelet.sock
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/log.go:743 in func1) | 4 Features detected from environment: kubernetes,kube_orchestratorexplorer,kubelet_config_orchestrator_check,docker
2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/config/setup/config.go:2431 in loadCustom) | Starting to load the configuration
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2441 in loadCustom) | Unknown environment variable: DD_KUBERNETES_KUBE_SERVICE_IGNORE_READINESS
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2254 in findUnexpectedUnicode) | config key "event_monitoring_config.socket" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2254 in findUnexpectedUnicode) | config key "runtime_security_config.activity_dump.cgroup_wait_list_size" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2254 in findUnexpectedUnicode) | config key "runtime_security_config.activity_dump.path_merge.enabled" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2254 in findUnexpectedUnicode) | config key "runtime_security_config.network.enabled" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/config/setup/config.go:2254 in findUnexpectedUnicode) | config key "runtime_security_config.syscall_monitor.enabled" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/system-probe/config/adjust.go:157 in deprecateCustom) | configuration key `runtime_security_config.activity_dump.cgroup_dump_timeout` is deprecated, use `runtime_security_config.activity_dump.dump_duration` instead
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/system-probe/config/config.go:138 in load) | config key "event_monitoring_config.process.enabled" is unknown
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/forwarder.go:80 in createOptions) | starting forwarder with 1 endpoints
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/forwarder.go:86 in createOptions) | domain 'https://app.datadoghq.com.' has 1 keys: ***************************d065d
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:325 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2026-02-26 18:46:54 UTC | CORE | WARN | (comp/core/workloadfilter/baseimpl/filter_utils.go:239 in computeContainerComplianceFilters) | config key "compliance_config.exclude_pause_containers" is unknown
2026-02-26 18:46:54 UTC | CORE | WARN | (comp/core/workloadfilter/baseimpl/filter_utils.go:248 in computeContainerRuntimeSecurityFilters) | config key "runtime_security_config.exclude_pause_containers" is unknown
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/core/ipc/impl/ipc.go:73 in NewReadWriteComponent) | starting to load the IPC auth primitives (timeout: 30s)
2026-02-26 18:46:54 UTC | CORE | WARN | (pkg/api/security/cert/cert_getter.go:37 in getCertFilepath) | IPC cert/key created or retrieved next to auth_token_file_path location: /etc/datadog-agent/auth/ipc_cert.pem
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/core/ipc/impl/ipc.go:194 in printAuthSignature) | successfully loaded the IPC auth primitives (fingerprint: e9d2ecf9f12bc612)
2026-02-26 18:46:54 UTC | CORE | INFO | (comp/core/tagger/impl/tagger.go:113 in NewComponent) | Tagger is created
2026-02-26 18:46:56 UTC | CORE | INFO | (pkg/util/kubernetes/clustername/clustername.go:80 in getClusterName) | Got cluster name very-good-startup-cluster from config
2026-02-26 18:46:56 UTC | CORE | INFO | (pkg/util/kubernetes/kubelet/kubelet_client.go:337 in checkKubeletConnection) | Successful configuration found for Kubelet, using URL: https://172.17.0.2:10250
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/api/security/security.go:178 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:325 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:204 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:153 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/aggregator/time_sampler.go:56 in NewTimeSampler) | Creating TimeSampler #0
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 2
2026-02-26 18:46:57 UTC | CORE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/healthplatform/impl/health-platform.go:69 in NewComponent) | Health platform component is disabled
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/rdnsquerier/impl/rdnsquerier.go:83 in NewComponent) | Reverse DNS Enrichment config: (enabled=false workers=0 chan_size=0 cache.enabled=true cache.entry_ttl=0 cache.clean_interval=0 cache.persist_interval=0 cache.max_retries=-1 cache.max_size=0 rate_limiter.enabled=true rate_limiter.limit_per_sec=0 rate_limiter.limit_throttled_per_sec=0 rate_limiter.throttle_error_threshold=0 rate_limiter.recovery_intervals=0 rate_limiter.recovery_interval=0)
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/netflow/server/server.go:63 in newServer) | Reverse DNS Enrichment is disabled for NDM NetFlow
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:325 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:325 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:325 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/gui/guiimpl/gui.go:103 in newGui) | GUI server port -1 specified: not starting the GUI.
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:458 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://7-75-4-app.agent.datadoghq.com." (1 api key(s))
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:104 in start) | workloadmeta store initialized successfully
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:458 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://orchestrator.datadoghq.com" (1 api key(s))
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:85 in Register) | Service listener factory cloudfoundry-bbs does not exist.
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:85 in Register) | Service listener factory kube_endpoints does not exist.
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:85 in Register) | Service listener factory kube_services does not exist.
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/providers/config_reader.go:215 in read) | Searching for configuration files at: /etc/datadog-agent/conf.d
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:664 in startCandidates) | workloadmeta collector "kubelet" started successfully
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "ecs" could not start. error: component workloadmeta-ecs is disabled: Agent is not running on ECS
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:664 in startCandidates) | workloadmeta collector "process-collector" started successfully
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "nvml" could not start. error: component workloadmeta-nvml is disabled: Agent does not have NVML library available
2026-02-26 18:46:57 UTC | CORE | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:90 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "crio" could not start. error: component workloadmeta-crio is disabled: Crio not detected
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/tagger/collectors/workloadmeta_main.go:153 in stream) | workloadmeta tagger collector started
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/providers/config_reader.go:298 in collectEntry) | Skipping 'auto_conf.yaml' for integration 'kubernetes_state'
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/providers/config_reader.go:215 in read) | Searching for configuration files at: /opt/datadog-agent/bin/agent/dist/conf.d
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/providers/config_reader.go:215 in read) | Searching for configuration files at: 
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/config/autodiscovery/autodiscovery.go:136 in DiscoverComponentsFromEnv) | Adding KubeContainer provider from environment
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/config/autodiscovery/autodiscovery.go:146 in DiscoverComponentsFromEnv) | Adding Kubelet listener from environment
2026-02-26 18:46:57 UTC | CORE | WARN | (comp/core/autodiscovery/providers/endpointschecks.go:56 in NewEndpointsChecksConfigProvider) | Cannot get dca client: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:532 in initListenerCandidates) | kubelet listener successfully started
