2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | SYS-PROBE: using slog logger
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to load the configuration
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:738 in func1) | Loading proxy settings
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to resolve secrets
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:738 in func1) | Finished resolving secrets
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:743 in func1) | Agent did not find PodResources socket at /var/lib/kubelet/pod-resources/kubelet.sock
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:743 in func1) | 3 Features detected from environment: kubernetes,kube_orchestratorexplorer,kubelet_config_orchestrator_check
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to load the configuration
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "event_monitoring_config.socket" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "runtime_security_config.activity_dump.cgroup_wait_list_size" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "runtime_security_config.activity_dump.path_merge.enabled" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "runtime_security_config.network.enabled" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "runtime_security_config.syscall_monitor.enabled" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:778 in func1) | configuration key `runtime_security_config.activity_dump.cgroup_dump_timeout` is deprecated, use `runtime_security_config.activity_dump.dump_duration` instead
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/util/log/setup/log.go:62 in SetupLogger) | config key "event_monitoring_config.process.enabled" is unknown
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/ipc/impl/ipc.go:73 in NewReadWriteComponent) | starting to load the IPC auth primitives (timeout: 30s)
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/api/security/cert/cert_getter.go:37 in getCertFilepath) | IPC cert/key created or retrieved next to auth_token_file_path location: /etc/datadog-agent/auth/ipc_cert.pem
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/ipc/impl/ipc.go:194 in printAuthSignature) | successfully loaded the IPC auth primitives (fingerprint: e9d2ecf9f12bc612)
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/configsync/configsyncimpl/module.go:70 in newComponent) | configsync disabled (agent_ipc.port: 0 | agent_ipc.config_refresh_interval: 0)
2026-02-26 18:46:55 UTC | SYS-PROBE | WARN | (pkg/networkpath/traceroute/runner/runner.go:86 in New) | gateway lookup is not enabled
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/impl/store.go:104 in start) | workloadmeta store initialized successfully
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 1
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/tagger/impl-remote/remote.go:258 in start) | remote tagger initialized successfully
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/collectors/internal/remote/generic.go:122 in Start) | remote workloadmeta initialized successfully
2026-02-26 18:46:55 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/impl/store.go:664 in startCandidates) | workloadmeta collector "remote-workloadmeta" started successfully
