2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | TRACE-LOADER: using slog logger
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:738 in func1) | Starting to load the configuration
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:738 in func1) | Loading proxy settings
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:738 in func1) | Starting to resolve secrets
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:738 in func1) | Finished resolving secrets
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:743 in func1) | Agent did not find PodResources socket at /var/lib/kubelet/pod-resources/kubelet.sock
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/log.go:743 in func1) | 4 Features detected from environment: docker,kubernetes,kube_orchestratorexplorer,kubelet_config_orchestrator_check
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (cmd/loader/main_nix.go:85 in main) | Socket-activation for the trace-agent is disabled, running the trace-agent directly...
2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (cmd/loader/main_nix.go:261 in execOrExit) | Starting the trace-agent...
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | TRACE: using slog logger
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to load the configuration
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:738 in func1) | Loading proxy settings
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:738 in func1) | Starting to resolve secrets
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:738 in func1) | Finished resolving secrets
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:743 in func1) | Agent did not find PodResources socket at /var/lib/kubelet/pod-resources/kubelet.sock
2026-02-26 18:46:55 UTC | TRACE | INFO | (pkg/util/log/log.go:743 in func1) | 4 Features detected from environment: kube_orchestratorexplorer,kubelet_config_orchestrator_check,docker,kubernetes
2026-02-26 18:46:55 UTC | TRACE | INFO | (reflect/value.go:581 in call) | starting to load the IPC auth primitives (timeout: 30s)
2026-02-26 18:46:55 UTC | TRACE | WARN | (pkg/api/security/cert/cert_getter.go:37 in getCertFilepath) | IPC cert/key created or retrieved next to auth_token_file_path location: /etc/datadog-agent/auth/ipc_cert.pem
2026-02-26 18:46:55 UTC | TRACE | INFO | (comp/core/ipc/impl/ipc.go:155 in buildIPCComponent) | successfully loaded the IPC auth primitives (fingerprint: e9d2ecf9f12bc612)
2026-02-26 18:46:55 UTC | TRACE | INFO | (reflect/value.go:581 in call) | configsync disabled (agent_ipc.port: 0 | agent_ipc.config_refresh_interval: 0)
2026-02-26 18:46:55 UTC | TRACE | INFO | (comp/trace/config/setup.go:69 in LoadConfigFile) | Loaded configuration: /etc/datadog-agent/datadog.yaml
